region,SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing,coal,mining,coal_lab,min_lab
Humpty Doo,71032,2315.759041,1465.664866,3781.423907,61.24,38.76,52.7,8.54,0.09489916963226572,3.6298932384341636,non_coal,mining
Burdekin,31461,3054.746037,1112.323737,4167.069774,73.31,26.69,64.78,8.53,1.4631401238041641,2.9825548677546427,coal,mining
Bakewell,71036,702.7327091,680.7817501,1383.5144592,50.79,49.21,42.28,8.51,0,2.336145360155743,non_coal,mining
Kingaroy,31505,3789.586872,1405.299529,5194.886401,72.95,27.05,64.47,8.48,3.5723270440251573,4.779874213836479,coal,mining
Maryborough Region - South,31525,2913.191983,1777.50246,4690.694443,62.11,37.89,53.63,8.48,1.6400336417157275,3.322119428090833,coal,mining
Munruben - Park Ridge South,31318,1168.546141,760.5633826,1929.1095236,60.57,39.43,52.1,8.47,0.37914691943127965,1.1374407582938388,non_coal,non_mining
Meekatharra,51290,296.7039084,187.6947286,484.398637,61.25,38.75,52.78,8.47,0.645682001614205,40.19370460048426,coal,mining
Aldinga,41072,3243.902374,4488.94837,7732.850743999999,41.95,58.05,33.53,8.42,0.10130001688333613,1.3506668917778153,non_coal,non_mining
Koolpinyah,71033,2.593425362,2.109837085,4.703262447,55.14,44.86,46.73,8.41,0,0,non_coal,non_mining
Newnham - Mayfield,61041,2043.175911,2518.452599,4561.6285100000005,44.79,55.21,36.41,8.38,0,0.09963467286615742,non_coal,non_mining
Karalee - Barellan Point,31289,1717.392292,1291.010178,3008.40247,57.09,42.91,48.75,8.34,0.5718642775447961,1.4105985512771635,coal,non_mining
Dilston - Lilydale,61058,1290.836662,1201.002662,2491.839324,51.8,48.2,43.49,8.31,0,0.6823821339950372,non_coal,non_mining
Erskine Park,11469,1731.388166,1685.81392,3417.2020860000002,50.67,49.33,42.39,8.28,0,0.11557353366079169,non_coal,non_mining
Yeppoon,31223,6886.393826,3673.56919,10559.963016000002,65.21,34.79,56.94,8.27,8.930951746201012,10.557184750733137,coal,mining
Oonoonba,31487,1781.468261,983.6402112,2765.1084722,64.43,35.57,56.16,8.27,0.26362038664323373,1.962507322788518,non_coal,non_mining
Mareeba,31170,3978.631934,1938.472706,5917.10464,67.24,32.76,58.99,8.25,0.671946244300456,2.735781137508999,coal,mining
Nanango,31509,3172.671696,1711.049651,4883.721347,64.96,35.04,56.71,8.25,2.9844807003581377,4.894548348587346,coal,mining
Edens Landing - Holmview,31308,1810.812105,1495.256403,3306.0685080000003,54.77,45.23,46.54,8.23,0.192492781520693,0.6095604748155278,non_coal,non_mining
Smithfield - Wetherill Park,11519,3263.789581,5071.1236,8334.913181,39.16,60.84,30.94,8.22,0,0.06601749463607856,non_coal,non_mining
Deagon,31043,958.8225037,1072.421008,2031.2435117,47.2,52.8,38.98,8.22,0,0.649772579597141,non_coal,non_mining
Beechworth,21068,1506.13642,1358.212136,2864.348556,52.58,47.42,44.38,8.2,0,0,non_coal,non_mining
Rosebery - Bellamack,71043,1393.766424,1222.623813,2616.3902369999996,53.27,46.73,45.09,8.18,0,2.5806451612903225,non_coal,mining
Rockhampton Region - North,31219,1388.942756,741.8447651,2130.7875211,65.18,34.82,57.01,8.17,7.142857142857142,8.710801393728223,coal,mining
Maryborough (Qld),31524,6051.463178,4189.319171,10240.782349000001,59.09,40.91,50.92,8.17,0.3832886163280951,1.303181295515523,non_coal,non_mining
Weddell,71035,1026.581492,683.0794207,1709.6609127000002,60.05,39.95,51.89,8.16,0,4.421949920085242,non_coal,mining
Esk,31278,1408.065138,900.8149366,2308.8800745999997,60.98,39.02,52.87,8.11,0.6480881399870383,2.0090732339598185,coal,non_mining
Gulliver - Currajong - Vincent,31476,2164.280697,1761.572205,3925.852902,55.13,44.87,47.02,8.11,0.4721435316336166,1.7311929493232607,non_coal,non_mining
Heatley,31477,1064.388808,832.8614849,1897.2502929,56.1,43.9,47.99,8.11,0.22123893805309736,0.7374631268436578,non_coal,non_mining
Kirwan - East,31481,2197.803894,1604.941429,3802.745323,57.8,42.2,49.7,8.1,0.7082630691399663,2.664418212478921,coal,mining
Raceview,31293,3640.994453,3922.829905,7563.824358,48.14,51.86,40.07,8.07,0.43262297708700526,1.0414997596539017,non_coal,non_mining
Myrtleford,21071,1724.620006,937.0475769,2661.6675829,64.79,35.21,56.74,8.05,0,0.21220159151193632,non_coal,non_mining
Mallala,41113,868.5916003,575.5467184,1444.1383187000001,60.15,39.85,52.13,8.02,0.33140016570008285,1.8227009113504555,non_coal,non_mining
Bidwill - Hebersham - Emerton,11313,2402.081562,5098.516433,7500.597995,32.03,67.97,24.02,8.01,0,0.05859375,non_coal,non_mining
Babinda,31158,1540.681748,869.3387769,2410.0205249,63.93,36.07,55.93,8,0,1.565217391304348,non_coal,non_mining
Innisfail,31159,2721.00298,1777.593453,4498.596433000001,60.49,39.51,52.5,7.99,0.2708396027685826,1.4745711706289497,non_coal,non_mining
Bossley Park - Abbotsbury,11510,4553.966954,4849.917035,9403.883989000002,48.43,51.57,40.45,7.98,0,0,non_coal,non_mining
Bolton Point - Teralba,11215,2036.779064,2999.762286,5036.54135,40.44,59.56,32.47,7.97,2.308707124010554,2.8693931398416885,coal,mining
