SA1_7DIG16,state_ab,div_nm,v_lnp_sa1,v_alp_sa1,v_t_sa1,p_lnp_sa1,p_alp_sa1,swing
4100146,SA,Adelaide,30.43,46.42,76.85,39.6,60.4,-1.53
4100147,SA,Adelaide,69.98,106.8,176.78,39.6,60.4,-2.32
4100148,SA,Adelaide,43.9,62.26,106.16,41.35,58.65,-0.66
4100201,SA,Adelaide,103.7,111.7,215.4,48.15,51.85,-1.56
4100202,SA,Adelaide,106.2,105.6,211.8,50.14,49.86,1.08
4100203,SA,Adelaide,105.6,100.6,206.2,51.21,48.79,2.36
4100204,SA,Adelaide,127.9,123,250.9,50.98,49.02,1.43
4100205,SA,Adelaide,225.2,212.9,438.1,51.4,48.6,2.06
4100206,SA,Adelaide,90.68,95.24,185.92000000000002,48.77,51.23,-2.4
4100207,SA,Adelaide,81.27,83.87,165.14,49.21,50.79,-2.56
4100208,SA,Adelaide,141.8,145.6,287.4,49.34,50.66,-1.39
4100209,SA,Adelaide,91.15,94.4,185.55,49.12,50.88,-2.34
4100210,SA,Adelaide,77.04,82.79,159.83,48.2,51.8,-2.41
4100211,SA,Adelaide,120.7,125.1,245.8,49.1,50.9,-2.52
4100212,SA,Adelaide,110,116.4,226.4,48.57,51.43,-2.43
4100214,SA,Adelaide,101.8,104.8,206.6,49.27,50.73,-1.54
4100215,SA,Adelaide,131.1,140.9,272,48.21,51.79,-2.16
4100216,SA,Adelaide,148.5,162.5,311,47.74,52.26,-2.22
4100219,SA,Adelaide,64.47,67.26,131.73000000000002,48.94,51.06,-2.19
4100220,SA,Adelaide,97.32,103.5,200.82,48.46,51.54,-2.02
4100221,SA,Adelaide,83.32,91.29,174.61,47.72,52.28,-2.22
4101306,SA,Adelaide,94.16,118.5,212.66,44.28,55.72,-1.96
4101308,SA,Adelaide,146.3,181.6,327.9,44.62,55.38,-1.97
4102001,SA,Adelaide,114.2,103.7,217.9,52.41,47.59,0.53
4102002,SA,Adelaide,105.2,116.2,221.4,47.49,52.51,0.78
4102003,SA,Adelaide,107.9,118.5,226.4,47.67,52.33,0.59
4102004,SA,Adelaide,194,211.4,405.4,47.85,52.15,0.45
4102005,SA,Adelaide,154.4,164.6,319,48.4,51.6,0.74
4102006,SA,Adelaide,175.7,198.5,374.2,46.95,53.05,2.11
4102007,SA,Adelaide,185.7,216.2,401.9,46.2,53.8,2.75
4102008,SA,Adelaide,131.1,151.3,282.4,46.42,53.58,2.84
4102009,SA,Adelaide,118.8,129.4,248.2,47.87,52.13,1.7
4102010,SA,Adelaide,135.4,124.4,259.8,52.11,47.89,2.16
4102011,SA,Adelaide,160.6,177.5,338.1,47.51,52.49,2.14
4102012,SA,Adelaide,124.1,113.6,237.7,52.21,47.79,-0.13
4102013,SA,Adelaide,82.08,78.23,160.31,51.2,48.8,1.88
4102014,SA,Adelaide,140.5,158.3,298.8,47.02,52.98,2.3
4102101,SA,Adelaide,132.3,175.7,308,42.95,57.05,0.29
4102102,SA,Adelaide,155.1,210.5,365.6,42.43,57.57,0.34
4102103,SA,Adelaide,134.2,179.5,313.7,42.78,57.22,0.54
4102104,SA,Adelaide,181.3,242.1,423.4,42.82,57.18,0.24
4102105,SA,Adelaide,124,178.4,302.4,41,59,1.87
4102106,SA,Adelaide,138.7,197.3,336,41.27,58.73,2.17
4102107,SA,Adelaide,87.32,122,209.32,41.71,58.29,2.26
4102108,SA,Adelaide,102.1,142.5,244.6,41.72,58.28,1.96
