SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing
81090,1960.561523,2694.10669,4654.668213,42.12,57.88,40.81,1.31
81091,692.226508,1085.584292,1777.8108,38.94,61.06,41.84,-2.9
81092,682.0780639,1295.606836,1977.6848999,34.49,65.51,38.45,-3.96
81093,668.4199608,1073.813382,1742.2333428000002,38.37,61.63,40.95,-2.58
81094,640.5965168,970.3371722,1610.933689,39.77,60.23,41.62,-1.85
81095,752.2712978,1178.748429,1931.0197268,38.96,61.04,41.21,-2.25
81096,479.2668389,721.2339217,1200.5007606,39.92,60.08,41.26,-1.34
81097,574.9665411,978.7944655,1553.7610066,37,63,40.33,-3.33
81098,850.4725719,1282.423815,2132.8963869,39.87,60.13,40.72,-0.85
81099,561.0668977,830.272481,1391.3393787,40.33,59.67,41.65,-1.32
81100,1152.321203,2069.102227,3221.42343,35.77,64.23,39.1,-3.33
81101,853.9478543,1177.568377,2031.5162313,42.04,57.96,44.37,-2.33
81102,740.8797075,1142.871156,1883.7508635,39.33,60.67,42.98,-3.65
81103,674.0858581,1065.399808,1739.4856661,38.75,61.25,41.2,-2.45
81104,637.7863538,888.1402637,1525.9266175,41.8,58.2,43.18,-1.38
81105,594.2282228,1029.211185,1623.4394078,36.6,63.4,39.74,-3.14
81106,705.5089094,1011.348877,1716.8577864,41.09,58.91,41.44,-0.35
81107,246.9981506,342.1968942,589.1950448,41.92,58.08,43,-1.08
81108,634.1109583,943.7757737,1577.886732,40.19,59.81,41.7,-1.51
81109,632.8481415,909.611286,1542.4594275,41.03,58.97,41.93,-0.9
81110,539.7322905,791.8847285,1331.617019,40.53,59.47,42.03,-1.5
81111,1.744447333,3.128578448,4.873025781,35.8,64.2,36.34,-0.54
81112,2.059854169,3.739326904,5.799181073,35.52,64.48,34.6,0.92
81113,113.477292,193.0350672,306.5123592,37.02,62.98,40.97,-3.95
81114,14.80350804,26.26003315,41.06354119,36.05,63.95,41.95,-5.9
81115,40.01620581,63.5893769,103.60558271,38.62,61.38,43.18,-4.56
81118,120.9981227,169.6661633,290.664286,41.63,58.37,41.96,-0.33
81119,0.933879093,1.00797649,1.941855583,48.09,51.91,46.67,1.42
81120,678.301541,1017.740267,1696.041808,39.99,60.01,41.24,-1.25
81121,38.20387785,58.76715887,96.97103672,39.4,60.6,41.23,-1.83
81122,109.0711585,153.4233561,262.4945146,41.55,58.45,42.52,-0.97
81124,901.2049767,1499.181541,2400.3865177,37.54,62.46,42.57,-5.03
81125,343.3451736,602.0190749,945.3642485,36.32,63.68,41.68,-5.36
81126,0.309736441,0.670333261,0.980069702,31.6,68.4,38.9,-7.3
81127,273.0839908,639.0956031,912.1795938999999,29.94,70.06,36.62,-6.68
81129,344.976995,734.2332404,1079.2102353999999,31.97,68.03,40.33,-8.36
81130,3.228852336,5.464831331,8.693683667,37.14,62.86,40.35,-3.21
81131,1093.741776,2159.966971,3253.7087469999997,33.62,66.38,41.03,-7.41
81132,1.848943184,2.913955331,4.762898515,38.82,61.18,38.01,0.81
81133,2.848923009,3.987166137,6.836089146,41.67,58.33,44.53,-2.86
81134,1.570363826,2.325007731,3.895371557,40.31,59.69,42.78,-2.47
81135,614.8139043,998.7791974,1613.5931017,38.1,61.9,40.78,-2.68
81136,99.61639188,158.6623351,258.27872698,38.57,61.43,40.95,-2.38
81138,0.45917796,0.488408556,0.947586516,48.46,51.54,44.28,4.18
81139,603.4707311,965.6509368,1569.1216679,38.46,61.54,40.87,-2.41
81140,114.7240675,166.1230274,280.8470949,40.85,59.15,42.15,-1.3
81141,12.78576061,15.00048681,27.786247420000002,46.01,53.99,47.89,-1.88
91001,91.4516036,305.7150987,397.1667023,23.03,76.97,30.43,-7.4
91002,40.74188812,245.1011599,285.84304801999997,14.25,85.75,30.48,-16.23
91003,6.905405405,65.10810811,72.013513515,9.59,90.41,8.2,1.39
91004,299.6077771,246.3821169,545.989894,54.87,45.13,55.36,-0.49
